symbol,entry_price,exit_price,Side,stop_loss,Final Balance,take_profit,result,pnl,position_size
BTCUSDT,16964.1,16719.1,BUY,16879.279499999997,99711.15473264128,17133.740999999998,LOST,-288.84526735871634,1.1789602749335362
BTCUSDT,16984.5,16719.1,BUY,16899.5775,99399.5371935198,17151.68761789846,LOST,-311.6175391214712,1.1741429507214376
BTCUSDT,16986.9,16719.1,BUY,16901.965500000002,99086.12867212479,17148.306359477145,LOST,-313.4085213950149,1.1703081456124402
BTCUSDT,16967.2,16719.1,BUY,16882.364,98796.35465492036,17124.04161951449,LOST,-289.77401720442236,1.1679726610415955
BTCUSDT,17078.6,16966.0,BUY,16993.207,98666.08086744195,17248.167218120598,LOST,-130.27378747841027,1.1569608124192892
BTCUSDT,17056.5,16970.3,BUY,16971.2175,98566.35330116782,17227.065,LOST,-99.72756627413091,1.156932323365778
BTCUSDT,17035.1,16926.0,BUY,16949.924499999997,98440.10116123137,17205.450999999997,LOST,-126.25213993645201,1.1572148481801439
BTCUSDT,17046.7,16926.0,BUY,16961.466500000002,98300.69916307149,17210.19140969787,LOST,-139.40199815988663,1.15494613222772
BTCUSDT,17017.4,16926.0,BUY,16932.313000000002,98195.10507815247,17175.552737576592,LOST,-105.5940849190226,1.155296333906137
BTCUSDT,17030.7,16926.0,BUY,16945.5465,98074.36984705001,17182.877542035407,LOST,-120.73523110245185,1.153154069746428
BTCUSDT,16997.4,16719.1,BUY,16912.413,97753.21370401126,17150.547003318592,LOST,-321.1561430387507,1.1539926088348809
BTCUSDT,16945.7,16719.1,BUY,16860.9715,97491.78008692457,17101.015074510124,LOST,-261.4336170866847,1.1537229350692064
BTCUSDT,16755.4,16655.0,BUY,16671.623,97374.94402546705,16922.954,LOST,-116.83606145752853,1.1637057914096298
BTCUSDT,16785.8,16655.0,BUY,16701.871,97223.18905783333,16953.658,LOST,-151.75496763372635,1.1602061745697798
BTCUSDT,16826.0,16710.4,BUY,16741.87,97089.59817877608,16994.26,LOST,-133.5908790572375,1.1556304416716192
BTCUSDT,16817.7,16710.4,BUY,16733.6115,96965.70830222243,16985.877,LOST,-123.88987655366195,1.1546120834451332
BTCUSDT,16787.1,16966.9,BUY,16703.1645,97173.42058549637,16954.970999999998,WIN,207.71228327394104,1.155240730110888
BTCUSDT,16785.7,16966.9,BUY,16701.7715,97383.21611157025,16953.557,WIN,209.79552607388447,1.1578119540501304
BTCUSDT,16846.3,16710.4,BUY,16762.068499999998,97226.09699259976,17014.763,LOST,-157.1191189704824,1.1561377407688367
BTCUSDT,16827.5,16710.4,BUY,16743.3625,97090.78068348869,16995.775,LOST,-135.3163091110776,1.1555619907009331
BTCUSDT,16829.1,16710.4,BUY,16744.9545,96953.81940015055,16997.391,LOST,-136.96128333814434,1.153844004533679
BTCUSDT,16800.4,16710.4,BUY,16716.398,96849.94278118893,16968.404000000002,LOST,-103.8766189616146,1.154184655129051
BTCUSDT,16775.2,16948.7,BUY,16691.324,97050.27976760383,16942.886140337512,WIN,200.3369864149015,1.1546800369734957
BTCUSDT,16807.5,16710.4,BUY,16723.4625,96938.14432609934,16972.137130313404,LOST,-112.13544150449728,1.154844917657044
BTCUSDT,16811.7,16710.4,BUY,16727.6415,96821.32289792452,16971.88090671959,LOST,-116.82142817482816,1.1532223906695853
BTCUSDT,16821.1,16710.4,BUY,16736.994499999997,96693.88628028595,16974.464413382473,LOST,-127.43661763856065,1.1511889578912737
BTCUSDT,16833.9,16710.4,BUY,16749.7305,96552.00953210976,16988.238383855158,LOST,-141.87674817618395,1.148799580373959
BTCUSDT,16828.0,16710.4,BUY,16743.86,96417.06163193178,16978.635642151217,LOST,-134.94790017798869,1.1475161579761084
BTCUSDT,16804.6,16710.4,BUY,16720.576999999997,96308.96638175352,16958.690239140415,LOST,-108.09525017825707,1.1475079636758005
BTCUSDT,16818.9,16710.4,BUY,16734.805500000002,96184.7070918782,16973.448079201815,LOST,-124.25928987532188,1.1452469112932893
BTCUSDT,16835.6,16710.4,BUY,16751.422,96041.6492225073,16992.59107354454,LOST,-143.05786937089113,1.142634739384141
BTCUSDT,16825.6,16710.4,BUY,16741.471999999998,95910.1353627884,16978.055996862786,LOST,-131.51385971891125,1.1416133656155778
BTCUSDT,16805.5,16710.4,BUY,16721.4725,95801.58692480082,16953.566282801163,LOST,-108.54843798757595,1.141413648660122
BTCUSDT,16810.2,16710.4,BUY,16726.149,95687.83457949743,16951.940119743937,LOST,-113.75234530338786,1.1398030591521913
BTCUSDT,16794.4,16710.4,BUY,16711.851933285525,95592.11483833754,16931.9801111908,LOST,-95.71974115988405,1.1395207280938577
BTCUSDT,16816.7,16710.4,BUY,16735.441080907985,95471.26542308586,16952.131531820025,LOST,-120.84941525168685,1.1368712629509659
BTCUSDT,16825.4,16710.4,BUY,16747.74886084313,95340.75802922116,16954.818565261456,LOST,-130.50739386469115,1.1348469031712274
BTCUSDT,16792.2,16710.4,BUY,16714.406085068622,95247.871165001,16921.856524885636,LOST,-92.88686422017629,1.1355362374104783
BTCUSDT,16813.3,16710.4,BUY,16737.516364706575,95131.28482034671,16939.606058822374,LOST,-116.58634465427245,1.1330062648617583
BTCUSDT,16842.0,16710.4,BUY,16757.79,94982.61747582282,16985.123483192205,LOST,-148.6673445238985,1.1296910678107912
BTCUSDT,16818.8,16966.9,BUY,16734.706,95149.89368635115,16961.73609153562,WIN,167.27621052833217,1.1294815025545557
BTCUSDT,16848.9,17279.2,BUY,16764.6555,95635.89573103344,16994.23351356879,WIN,486.00204468228577,1.1294493253132387
