timestamp,open,high,low,close,volume,rsi,macd,bollinger_h,bollinger_l,sma_50,sma_200
2025-01-30 21:00:00,104907.1,105217.17,104805.15,105048.89,488.85335,53.51960141581153,452.1412760923413,105904.64131913468,104672.87968086533,103598.00940000001,103533.92515000001
2025-01-30 22:00:00,105048.89,105351.29,104962.11,105094.56,279.52567,54.038063570747845,406.09291672766267,105864.15519959242,104756.50280040757,103674.61099999999,103537.42965
2025-01-30 23:00:00,105094.57,105254.0,104693.82,104722.94,395.49962,49.22637184079652,335.74240250486764,105895.6723424644,104677.67965753561,103762.38960000001,103540.1443
2025-01-31 00:00:00,104722.94,105029.72,104400.0,104898.49,652.01906,51.426673870616774,290.8023426151485,105882.4683979093,104632.93260209069,103835.0468,103546.11355000001
2025-01-31 01:00:00,104898.48,104908.15,104420.97,104729.58,393.75062,49.21665780321428,238.80460517888423,105888.084240239,104562.70475976102,103902.92799999999,103548.03245000001
2025-01-31 02:00:00,104729.95,104851.99,104255.01,104341.72,583.78993,44.488823666749774,164.40381823960342,105950.00617119602,104416.51782880402,103955.7106,103550.261
2025-01-31 03:00:00,104341.73,104377.76,103930.09,104344.46,880.98826,44.529362712552825,104.45763111350243,105993.52081395035,104294.24218604963,104005.69940000001,103548.8333
2025-01-31 04:00:00,104344.46,104547.24,103972.13,104007.58,395.0513,40.6032460895873,29.42722660030995,106074.94704822167,104107.57295177835,104049.94300000001,103547.2657
2025-01-31 05:00:00,104007.59,104484.09,104007.59,104319.87,359.47579,45.40842815926627,-4.780608577842941,106063.36366619004,104009.93833380996,104095.57639999999,103548.4249
2025-01-31 06:00:00,104319.87,104745.1,104298.73,104511.02,327.85317,48.17225214857821,-16.278706126788165,106035.78232531248,103954.08167468752,104145.77560000001,103551.64605000001
2025-01-31 07:00:00,104511.03,104814.46,104002.01,104188.56,786.55841,44.11478355862821,-50.824979635188356,106026.69196724087,103851.96503275911,104184.30679999999,103554.05554999999
2025-01-31 08:00:00,104188.57,104321.98,104013.63,104028.78,441.99171,42.21729205875982,-90.05792919722444,106046.0772660204,103733.45773397961,104208.84959999999,103557.66189999999
2025-01-31 09:00:00,104028.79,104329.73,103936.54,104256.56,677.9336,45.79660778322287,-101.59920957547729,106047.43444699568,103669.7575530043,104238.86440000002,103564.285
2025-01-31 10:00:00,104256.57,104431.49,104080.1,104284.1,298.57773,46.23029121661642,-107.28677443508059,105884.47638096916,103669.06861903082,104269.90580000001,103572.42880000001
2025-01-31 11:00:00,104284.1,104848.65,104284.1,104736.0,574.30716,52.89090451433257,-74.47119961642602,105782.53012897196,103688.21487102803,104317.9378,103583.80255000001
2025-01-31 12:00:00,104736.01,104918.3,104553.71,104704.68,613.4883,52.406370009084576,-50.41077832411975,105635.46961702991,103736.04738297008,104361.0912,103596.94984999999
2025-01-31 13:00:00,104704.69,105036.03,104551.09,104664.02,660.0676,51.74364849701931,-34.229071860638214,105560.89885712133,103747.01914287868,104401.4516,103607.60734999999
2025-01-31 14:00:00,104664.01,104860.0,104106.0,104442.79,1064.61592,48.17403387910154,-38.80899902617966,105401.78017438734,103792.52182561265,104445.71040000001,103618.53779999999
2025-01-31 15:00:00,104443.99,106012.0,104443.99,105464.01,2491.4804,61.40871538795604,39.50985004955146,105325.63441400447,103843.94158599553,104518.266,103632.3065
